    55
C      0.000000  -0.110000     2.000000 
CA     0.000000  -0.070000     1.992400 
CC     0.000000  -0.070000     2.000000 
CD     0.000000  -0.070000     2.000000 
CE1    0.000000  -0.068000     2.090000 	
CE2    0.000000  -0.064000     2.080000 
CP1    0.000000  -0.020000     2.275000   0.000000  -0.010000     1.900000 
CP2    0.000000  -0.055000     2.175000   0.000000  -0.010000     1.900000 
CP3    0.000000  -0.055000     2.175000   0.000000  -0.010000     1.900000 
CPH1   0.000000  -0.050000     1.800000 
CPH2   0.000000  -0.050000     1.800000 
CS     0.000000  -0.110000     2.200000 
CPT    0.000000  -0.099000     1.860000 
CY     0.000000  -0.073000     1.990000 
CAI    0.000000  -0.073000     1.990000 
CT       0.0       -0.0200    2.275 0.0 -0.01 1.9 
CT1      0.0       -0.0320    2.000 0.0 -0.01 1.9 
CT2      0.0       -0.0560    2.010 0.0 -0.01 1.9 
CT2A     0.0       -0.0560    2.010 0.0 -0.01 1.9 
CT3      0.0       -0.0780    2.040 0.0 -0.01 1.9 
H      0.000000  -0.046000     0.224500 
HA     0.000000  -0.022000     1.320000 
HB1    0.000000  -0.022000     1.320000 
HB2    0.000000  -0.028000     1.340000 
HE1    0.000000  -0.031000     1.250000 
HE2    0.000000  -0.026000     1.260000 
HC     0.000000  -0.046000     0.224500 
HP     0.000000  -0.030000     1.358200   0.000000  -0.030000     1.358200 
HR1    0.000000  -0.046000     0.900000 
HR2    0.000000  -0.046000     0.700000 
HR3    0.000000  -0.007800     1.468000 
HS     0.000000  -0.100000     0.450000 
HA1     0.0       -0.045     1.3400 
HA2     0.0       -0.034     1.3400 
HA3     0.0       -0.024     1.3400 
N      0.000000  -0.200000     1.850000   0.000000  -0.000100     1.850000 
NC2    0.000000  -0.200000     1.850000 
NH1    0.000000  -0.200000     1.850000   0.000000  -0.200000     1.550000 
NH2    0.000000  -0.200000     1.850000 
NH3    0.000000  -0.200000     1.850000 
NP     0.000000  -0.200000     1.850000 
NR1    0.000000  -0.200000     1.850000 
NR2    0.000000  -0.200000     1.850000 
NR3    0.000000  -0.200000     1.850000 
NY     0.000000  -0.200000     1.850000 
O      0.000000  -0.120000     1.700000   0.000000  -0.120000     1.400000 
OB     0.000000  -0.120000     1.700000   0.000000  -0.120000     1.400000 
OC     0.000000  -0.120000     1.700000 
OH1    0.000000  -0.152100     1.770000 
OS     0.000000  -0.152100     1.770000 
S      0.000000  -0.450000     2.000000 
SM     0.000000  -0.380000     1.975000 
SS     0.000000  -0.470000     2.200000 
OT     0.000000  -0.152100     1.768200
HT     0.000000  -0.046000     0.224500
