    183	
1	5
5	6
7	10
13	14
17	18
21	23
25	26
27	30
33	34
38	39
41	43
45	46
50	51
53	55
57	58
62	63
65	67
69	70
74	75
77	79
81	82
86	87
89	91
93	94
98	99
101	103
105	106
110	111
113	115
117	118
122	123
125	127
129	130
134	135
137	139
141	142
146	147
149	151
153	154
158	159
161	163
165	166
170	171
173	175
177	178
182	183	
2	1
7	5
11	5
13	15
17	19
22	21
27	25
31	25
35	36
38	40
42	43
47	48
50	52
54	55
59	60
62	64
66	67
71	72
74	76
78	79
83	84
86	88
90	91
95	96
98	100
102	103
107	108
110	112
114	115
119	120
122	124
126	127
131	132
134	136
138	139
143	144
146	148
150	151
155	156
158	160
162	163
167	168
170	172
174	175
179	180
182	184	
3	1
7	8
11	13
15	16
17	20
23	24
27	28
31	32
35	37
39	40
44	45
47	49
51	52
56	57
59	61
63	64
68	69
71	73
75	76
80	81
83	85
87	88
92	93
95	97
99	100
104	105
107	109
111	112
116	117
119	121
123	124
128	129
131	133
135	136
140	141
143	145
147	148
152	153
155	157
159	160
164	165
167	169
171	172
176	177
179	181
183	184	
4	1
7	9
12	11
17	15
21	15
23	25
27	29
31	33
36	37
41	42
44	46
48	49
53	54
56	58
60	61
65	66
68	70
72	73
77	78
80	82
84	85
89	90
92	94
96	97
101	102
104	106
108	109
113	114
116	118
120	121
125	126
128	130
132	133
137	138
140	142
144	145
149	150
152	154
156	157
161	162
164	166
168	169
173	174
176	178
180	181	
